transaction_id,customer_id,merchant_id,timestamp,invoice_no,invoice_amount,segment
20160010000001,354,831,2016-01-01 04:55:14,652-650-679,25384,Electronics | Mobile
20160010000002,757,600,2016-01-01 04:55:14,328-800-357,20477,Home | Decor
20160010000003,458,284,2016-01-01 04:55:14,472-165-882,24250,Electronics | Computers
20160010000004,213,190,2016-01-01 04:55:14,667-375-102,36679,Home | Decor
20160010000005,950,752,2016-01-01 04:55:14,998-177-836,4683,Electronics | Mobile
20160010000006,662,778,2016-01-01 04:55:14,780-934-226,43678,Fashion | Apparels
20160010000007,471,508,2016-01-01 04:55:14,148-925-242,2610,Fashion | Shoes
20160010000008,585,551,2016-01-01 04:55:14,197-294-964,38656,Fashion | Apparels
20160010000009,610,509,2016-01-01 04:55:14,927-640-621,48804,Home | Decor
20160010000010,869,743,2016-01-01 04:55:14,487-362-524,30275,Electronics | Television
20160010000011,250,282,2016-01-01 04:55:14,562-750-695,46420,Fashion | Apparels
20160010000012,713,25,2016-01-01 04:55:14,623-258-291,1908,Home | Lighting
20160010000013,382,579,2016-01-01 04:55:14,466-613-625,7255,Home | Lighting
20160010000014,30,462,2016-01-01 04:55:14,904-348-804,40658,Home | Decor
20160010000015,401,181,2016-01-01 04:55:14,888-348-814,30478,Home | Kitchen
20160010000016,577,47,2016-01-01 04:55:14,630-913-305,20271,Fashion | Apparels
20160010000017,420,963,2016-01-01 04:55:14,210-459-622,36277,Fashion | Apparels
20160010000018,191,503,2016-01-01 04:55:14,647-210-529,17718,Home | Kitchen
20160010000019,420,46,2016-01-01 04:55:14,213-141-769,17729,Home | Kitchen
20160010000020,319,454,2016-01-01 04:55:14,111-387-394,9396,Electronics | Mobile
20160010000021,410,870,2016-01-01 04:55:14,101-880-226,10857,Fashion | Apparels
20160010000022,57,187,2016-01-01 04:55:14,920-442-386,30199,Fashion | Apparels
20160010000023,500,391,2016-01-01 04:55:14,746-686-305,31417,Fashion | Apparels
20160010000024,228,418,2016-01-01 04:55:14,900-927-716,5207,Home | Lighting
20160010000025,371,517,2016-01-01 04:55:14,561-644-368,15353,Electronics | Mobile
20160010000026,443,732,2016-01-01 04:55:14,971-556-953,27603,Home | Lighting
20160010000027,145,863,2016-01-01 04:55:14,315-661-950,41356,Fashion | Shoes
20160010000028,214,380,2016-01-01 04:55:14,478-545-850,16227,Fashion | Watches
20160010000029,985,829,2016-01-01 04:55:14,992-557-151,41452,Electronics | Mobile
20160010000030,667,990,2016-01-01 04:55:14,637-557-732,28494,Electronics | Mobile
20160010000031,887,375,2016-01-01 04:55:14,845-953-262,36692,Home | Decor
20160010000032,272,37,2016-01-01 04:55:14,804-957-356,17096,Home | Lighting
20160010000033,143,978,2016-01-01 04:55:14,385-514-918,25798,Home | Furniture
20160010000034,531,31,2016-01-01 04:55:14,697-216-628,9311,Fashion | Apparels
20160010000035,713,659,2016-01-01 04:55:14,546-194-809,39234,Electronics | Mobile
20160010000036,885,699,2016-01-01 04:55:14,838-310-484,7161,Fashion | Apparels
20160010000037,603,238,2016-01-01 04:55:14,170-533-411,16639,Home | Lighting
20160010000038,236,549,2016-01-01 04:55:14,605-294-412,2618,Home | Kitchen
20160010000039,402,778,2016-01-01 04:55:14,609-434-299,49495,Home | Lighting
20160010000040,593,430,2016-01-01 04:55:14,688-310-726,9576,Electronics | Mobile
20160010000041,937,127,2016-01-01 04:55:14,724-357-518,34131,Home | Decor
20160010000042,872,758,2016-01-01 04:55:14,795-332-544,12950,Electronics | Mobile
20160010000043,486,411,2016-01-01 04:55:14,103-392-122,33833,Electronics | Mobile
20160010000044,636,576,2016-01-01 04:55:14,258-337-854,3679,Fashion | Apparels
20160010000045,969,553,2016-01-01 04:55:14,571-295-204,6210,Fashion | Apparels
20160010000046,153,472,2016-01-01 04:55:14,661-303-383,41605,Fashion | Apparels
20160010000047,657,514,2016-01-01 04:55:14,229-383-910,5140,Home | Decor
20160010000048,606,595,2016-01-01 04:55:14,352-784-320,11278,Home | Decor
20160010000049,956,27,2016-01-01 04:55:14,240-422-322,20387,Fashion | Apparels
20160010000050,907,761,2016-01-01 04:55:14,268-802-383,22712,Home | Kitchen
20160010000051,518,852,2016-01-01 04:55:14,195-387-864,17020,Fashion | Apparels
20160010000052,388,925,2016-01-01 04:55:14,983-317-806,38962,Fashion | Shoes
20160010000053,850,508,2016-01-01 04:55:14,380-771-156,22486,Electronics | Television
20160010000054,439,503,2016-01-01 04:55:14,180-349-129,34746,Home | Decor
20160010000055,734,270,2016-01-01 04:55:14,931-185-118,8954,Home | Kitchen
20160010000056,537,782,2016-01-01 04:55:14,778-477-765,20959,Electronics | Mobile
20160010000057,134,302,2016-01-01 04:55:14,412-997-332,37667,Fashion | Apparels
20160010000058,613,368,2016-01-01 04:55:14,492-950-264,43866,Home | Lighting
20160010000059,340,895,2016-01-01 04:55:14,695-953-738,33310,Electronics | Mobile
20160010000060,315,289,2016-01-01 04:55:14,894-913-558,8461,Electronics | Mobile
20160010000061,93,242,2016-01-01 04:55:14,439-261-766,43105,Electronics | Computers
20160010000062,764,727,2016-01-01 04:55:14,142-399-751,39410,Fashion | Watches
20160010000063,659,691,2016-01-01 04:55:14,301-143-785,20975,Electronics | Mobile
20160010000064,964,918,2016-01-01 04:55:14,274-680-681,36318,Home | Lighting
20160010000065,496,653,2016-01-01 04:55:14,281-859-392,39845,Home | Kitchen
20160010000066,513,164,2016-01-01 04:55:14,390-153-109,13569,Electronics | Mobile
20160010000067,211,363,2016-01-01 04:55:14,352-520-449,8369,Fashion | Shoes
20160010000068,649,932,2016-01-01 04:55:14,809-750-244,12105,Home | Decor
20160010000069,720,502,2016-01-01 04:55:14,613-761-841,10876,Fashion | Apparels
20160010000070,41,992,2016-01-01 04:55:14,402-867-686,41982,Fashion | Apparels
20160010000071,838,144,2016-01-01 04:55:14,454-856-150,37376,Home | Kitchen
20160010000072,813,809,2016-01-01 04:55:14,704-471-517,4453,Electronics | Television
20160010000073,647,897,2016-01-01 04:55:14,552-552-140,49210,Home | Furniture
20160010000074,167,31,2016-01-01 04:55:14,424-767-660,10436,Electronics | Television
20160010000075,938,506,2016-01-01 04:55:14,215-692-542,1055,Electronics | Television
20160010000076,569,887,2016-01-01 04:55:14,230-845-424,12579,Fashion | Watches
20160010000077,113,798,2016-01-01 04:55:14,968-516-477,21322,Electronics | Television
20160010000078,770,362,2016-01-01 04:55:14,839-902-612,32553,Home | Lighting
20160010000079,455,639,2016-01-01 04:55:14,194-603-881,24715,Electronics | Television
20160010000080,459,482,2016-01-01 04:55:14,904-236-842,44309,Electronics | Television
20160010000081,822,245,2016-01-01 04:55:14,529-612-936,43552,Fashion | Shoes
20160010000082,464,624,2016-01-01 04:55:14,807-955-451,21190,Home | Decor
20160010000083,783,54,2016-01-01 04:55:14,234-347-585,39681,Electronics | Television
20160010000084,581,461,2016-01-01 04:55:14,663-152-476,17915,Home | Lighting
20160010000085,629,722,2016-01-01 04:55:14,490-990-597,10944,Fashion | Shoes
20160010000086,337,781,2016-01-01 04:55:14,811-983-696,32649,Electronics | Mobile
20160010000087,485,10,2016-01-01 04:55:14,375-300-529,30690,Electronics | Television
20160010000088,799,793,2016-01-01 04:55:14,937-608-359,28859,Home | Decor
20160010000089,738,887,2016-01-01 04:55:14,234-107-668,27554,Fashion | Apparels
20160010000090,394,132,2016-01-01 04:55:14,594-953-490,14100,Fashion | Apparels
20160010000091,473,141,2016-01-01 04:55:14,586-607-176,42065,Electronics | Mobile
20160010000092,925,536,2016-01-01 04:55:14,737-736-561,24907,Fashion | Shoes
20160010000093,380,463,2016-01-01 04:55:14,923-854-283,24458,Fashion | Apparels
20160010000094,434,502,2016-01-01 04:55:14,619-401-852,16197,Fashion | Shoes
20160010000095,286,75,2016-01-01 04:55:14,998-136-539,2362,Home | Decor
20160010000096,980,140,2016-01-01 04:55:14,104-140-693,5041,Fashion | Apparels
20160010000097,429,809,2016-01-01 04:55:14,739-615-538,45447,Fashion | Apparels
20160010000098,412,636,2016-01-01 04:55:14,861-358-874,34955,Fashion | Apparels
20160010000099,282,304,2016-01-01 04:55:14,869-105-603,15978,Fashion | Apparels
20160010000100,23,616,2016-01-01 04:55:14,928-457-793,15232,Fashion | Shoes
