merchant_id,tax_registration,merchant_name,mobile_no,start_date,email,address,state,country,pincode,description,longlat
1,"e83b2257-3245-4a87-b9bf-99c693b1e3f5","Erin Hewitt Inc",885144360,"1981-09-18 00:27:23","0_Patrick@hotmail.com","16038 Happy Maple Crest","mi","ru",441850,"from","-73.79 : 41.19"
2,"1431d625-4a84-4d74-85ef-c4bc7825ced6","Kenneth Keegan Inc",941664413,"1986-10-06 09:48:33","1_Penny@yahoo.com","99859 Cotton Pebble Crest","tx","br",317493,"baloney","-94.09 : 46.74"
3,"808e048b-6705-45e6-9097-90d0d21afe4c","Bert Atkinson Inc",977295612,"1986-01-10 02:28:14","2_Antonio@yahoo.com","84065 Crystal Cottage Meadow","ok","uk",783625,"fast much the","-117.51 : 34.66"
4,"ff68adf4-2be3-40e2-93b9-243b9930f853","John Fernandes Store",898315082,"1981-09-03 16:12:05","3_Monika@yahoo.com","43860 Velvet Goat Run","tn","mx",351546,"sister lisa's","-79.74 : 40.10"
5,"4fdb3a31-27eb-4d60-8f33-4df531b581d8","Gail Rathbone Store",928302050,"1999-02-15 18:03:37","4_Federico@gmail.com","27832 Quaint Nectar Field","tx","uk",785713,"why man place does have me","-77.03 : 38.89"
6,"2160475a-2f3b-40c7-bc8f-cbd3fec110c6","Joan Turner Inc",969861626,"1986-03-22 12:37:49","5_Shannon@gmail.com","10158 Lost Cloud Arbor","ga","us",531636,"marge new first this a","-89.93 : 30.06"
7,"0ad2b0d0-663c-4868-b5f7-feae9aed60c3","Rosa Riley LLP",947075213,"1998-09-10 23:52:43","6_John@gmail.com","54314 Quiet Quail Lace","tx","us",462696,"explored i out","-74.96 : 42.53"
8,"5ccb9509-c07d-46c5-aba8-a48a4f5f7ce9","Deborah Talley Inc",899042003,"1995-08-22 05:52:39","7_Tracy@gmail.com","19 Misty Rise Falls","ga","jp",113129,"a if eve can","-90.09 : 36.78"
9,"44c5abfd-a0d3-4836-a87a-303abb00beda","Bettie Kahn Inc",959954702,"1995-11-09 23:21:00","8_Kathryn@hotmail.com","57432 Cold Pebble Way","va","jp",699858,"in be kid it people a to were flowers big i i'm","-78.88 : 40.80"
10,"ef877142-ed98-4984-bdb9-5b0a836d0005","Lyle Bruce LLP",945255372,"1986-05-18 10:28:47","9_Bernard@gmail.com","26221 Long Apple Ledge","ky","ko",237961,"heavens thinking the","-80.08 : 42.12"
11,"6d294c3a-34a9-4d2b-a4cf-68380d3b13f7","Ronald Hall Store",900675901,"1998-10-16 19:33:02","10_Robert@gmail.com","89949 Rough Rabbit Vista","nc","de",914290,"my day be a i the dump is","-71.10 : 41.71"
12,"e5454ddd-5793-4ac3-ac4b-936c77e6ab01","Bryon Moore Inc",959464277,"1983-05-25 04:56:32","11_Robin@gmail.com","836 Twin Axe Canyon","vt","fr",132013,"and of of","-120.57 : 39.72"
13,"03451f10-5575-42bd-a2fd-1a7ed2de82ae","Pamela Haynes Inc",976502468,"1986-08-20 00:30:29","12_Erica@gmail.com","3834 Square Oak Farms","me","us",192954,"every don't still","-79.67 : 39.94"
14,"5853a37d-6f25-4c2e-8786-901ff2f15dac","Sarah Robertson Inc",960288060,"1982-12-10 00:41:49","13_Robert@hotmail.com","752 Indian Barn Valley","az","mx",473928,"old lisa hold quiet oh you unending","-76.50 : 37.37"
15,"f5d3746a-4a6c-425e-bcce-783cb2d92f3b","Scott Petersen Inc",958463092,"1980-11-29 07:32:20","14_Colin@gmail.com","75036 Rustic Mill Woods","tx","us",336575,"right i reading am sorry not","-78.25 : 35.95"
16,"277bfc0c-93f9-4588-98ea-e839c43b4648","Herman Carte Inc",902616794,"1985-08-15 21:23:52","15_Danny@gmail.com","14921 Emerald Apple Avenue","ny","uk",259421,"no a the it to when be a","-121.29 : 36.77"
17,"022c7535-c9be-41a2-830d-d45845baa2ac","Ricky Schultz Store",959069371,"1990-06-08 03:41:40","16_Gilbert@gmail.com","29115 Hidden Castle Jetty","me","ru",798813,"the bread must you're","-79.20 : 37.92"
18,"9927b47d-32b6-47b3-99f6-28e3b5e70b57","Henry Mcneil Inc",974123136,"1987-03-05 04:44:11","17_Brenda@yahoo.com","9051 Easy Horse Place","oh","in",984327,"","-74.93 : 39.52"
19,"00043736-152b-4c3f-8f4d-98ff91df864b","James Guerra Inc",923137954,"1986-06-05 22:08:51","18_Alfredo@yahoo.com","2259 Shady Rise Way","oh","br",982696,"that my you but watch mean","-77.17 : 38.78"
20,"f3f1d1c3-a0be-41f6-ad2d-7e1e80248baa","Richard Santillan Inc",915175029,"1995-06-26 14:54:56","19_Douglas@yahoo.com","76146 Lost Butternut Hollow","ct","in",754548,"selma homer it love right order this down you not i'll this","-157.85 : 21.30"
21,"490f4a2c-4fab-4cb3-a088-0a92f7b8434f","Steven Hamlin Inc",888116464,"1980-11-20 16:43:29","20_Branden@gmail.com","38160 Twin Pond Point","ma","us",722607,"i creatures by we'll it hesitantly drink groans us","-96.69 : 29.51"
22,"e6bd850c-97e5-478c-b0f5-bebd281760a7","Stephanie Guthrie Inc",958840496,"1998-01-10 12:31:11","21_Angela@hotmail.com","16391 Lazy Fawn Ramble","tn","in",430961,"some need english the","-82.19 : 38.13"
23,"40487a27-b78e-48c5-bf50-53b75aa952c3","James Ferrell Inc",919513208,"1985-03-07 02:12:04","22_Lyle@gmail.com","51886 Gentle Bear Saunter","in","in",554792,"turns my how","-88.11 : 46.53"
24,"cd963b43-a610-4f96-98dc-779b94738eda","Lisa Bishop Inc",938095068,"1985-02-05 15:08:47","23_Allen@gmail.com","69810 Lazy Cider Bluff","ga","in",494429,"members wait","-70.06 : 41.66"
25,"8855c327-5e27-4639-99cc-96b3508a49b6","Joseph Henderson LLP",933104374,"1994-08-15 21:22:12","24_Vickie@hotmail.com","4094 Cotton Pony Twist","fl","in",406155,"","-71.29 : 42.57"
26,"704753c5-1f4a-4217-a3be-d2238d8d10bf","Merle Becnel LLP",968581396,"1985-04-02 11:49:30","25_Michael@gmail.com","4332 Shady Goose Mews","ca","de",831848,"anyway little voyage in whatever thy","-72.08 : 43.38"
27,"dce9b1f8-4619-4a62-a0dc-000cbc7aeda4","Joe Buenrostro Inc",921441305,"1982-07-10 20:36:00","26_Sharon@yahoo.com","97013 Lonely Leaf Hollow","ny","us",162940,"me they maybe you're to car","-75.24 : 38.54"
28,"dafeda63-8a76-4a3e-a013-72045db727cf","Ronald Vanleer Inc",986277936,"1999-05-12 18:48:57","27_Ashley@yahoo.com","84062 Still Holly Knoll","nj","ko",127889,"never","-72.78 : 42.60"
29,"1d39ae4d-b81b-4063-a9fe-1669a9e3dd25","Sandra Curtis Inc",995383781,"1989-10-16 17:37:07","28_Alma@hotmail.com","59694 Green Lake Path","ca","ru",417406,"a and much stop clears all i oh","-81.08 : 37.99"
30,"dbafe098-abad-4519-9abd-a6294ffc9fc9","Ann Williams Inc",915820174,"1988-06-11 22:44:58","29_Lee@gmail.com","4211 Red Hills Pace","tx","ko",549435,"the great","-96.76 : 32.79"
31,"bef8ea1c-1ba6-4fba-9b57-c3a3464298d5","Richard Hale Store",940731653,"1989-12-08 17:41:23","30_William@gmail.com","388 Easy Cider Place","ca","us",249539,"you're","-94.10 : 42.17"
32,"8f86520c-39c1-482b-81a5-88ff00b27043","Jenny Gregory Inc",993214540,"1982-07-22 04:02:34","31_Hipolito@gmail.com","1387 Grand Embers Alcove","az","us",691303,"knew no circle playing you're be","-73.64 : 42.24"
33,"2efaf239-c1f2-4aae-92a9-d3230c16f883","Erin Rose Inc",950685811,"1987-11-20 08:38:24","32_Shirley@gmail.com","10460 Old Barn Flats","ca","us",666843,"crap","-80.81 : 33.25"
34,"2dd76049-a0be-44e1-87ad-ebebe36a6871","Peter Stephens Inc",974934462,"1990-04-05 21:23:14","33_Patricia@hotmail.com","44754 Misty Beacon Vale","az","us",608467,"to stand was done without","-94.88 : 39.05"
35,"27f01c36-2dad-4b6f-b8cc-e1892b2a589e","Lillian Gould Store",917635744,"1993-05-07 06:18:40","34_Mary@hotmail.com","49 Small Beaver Vista","or","uk",851260,"","-117.29 : 47.65"
