transaction_id,customer_id,merchant_id,timestamp,invoice_no,invoice_amount,segment
"20160010000001",16391741,45654,"2016-01-01 21:19:22","652-650-679",25384,"Electronics | Mobile"
"20160010000002",13769154,11278,"2016-01-01 12:14:34","328-800-357",20477,"Home | Decor"
"20160010000003",1280297,68123,"2016-01-01 12:46:29","472-165-882",24250,"Electronics | Computers"
"20160010000004",13008389,4818,"2016-01-01 12:16:09","667-375-102",36679,"Home | Decor"
"20160010000005",10958767,3295,"2016-01-01 05:16:02","998-177-836",4683,"Electronics | Mobile"
"20160010000006",11350057,24606,"2016-01-01 09:09:43","780-934-226",43678,"Fashion | Apparels"
"20160010000007",14847447,11239,"2016-01-01 21:59:42","148-925-242",2610,"Fashion | Shoes"
"20160010000008",10937299,6067,"2016-01-01 07:35:57","197-294-964",38656,"Fashion | Apparels"
"20160010000009",8644646,28283,"2016-01-01 18:16:54","927-640-621",48804,"Home | Decor"
"20160010000010",3994681,85524,"2016-01-01 17:16:30","487-362-524",30275,"Electronics | Television"
"20160010000011",8052333,75159,"2016-01-01 15:14:12","562-750-695",46420,"Fashion | Apparels"
"20160010000012",2044103,95524,"2016-01-01 15:51:34","623-258-291",1908,"Home | Lighting"
"20160010000013",13861668,59863,"2016-01-01 05:16:53","466-613-625",7255,"Home | Lighting"
"20160010000014",10808397,83391,"2016-01-01 17:56:27","904-348-804",40658,"Home | Decor"
"20160010000015",9483098,38645,"2016-01-01 18:16:54","888-348-814",30478,"Home | Kitchen"
"20160010000016",13009407,32488,"2016-01-01 21:20:18","630-913-305",20271,"Fashion | Apparels"
"20160010000017",6140021,30951,"2016-01-01 10:43:59","210-459-622",36277,"Fashion | Apparels"
"20160010000018",4153827,43949,"2016-01-01 21:18:41","647-210-529",17718,"Home | Kitchen"
"20160010000019",2867661,49146,"2016-01-01 18:57:28","213-141-769",17729,"Home | Kitchen"
"20160010000020",13312618,74149,"2016-01-01 15:58:00","111-387-394",9396,"Electronics | Mobile"
"20160010000021",16088083,46952,"2016-01-01 00:59:41","101-880-226",10857,"Fashion | Apparels"
"20160010000022",1115952,45484,"2016-01-01 19:40:06","920-442-386",30199,"Fashion | Apparels"
"20160010000023",1023875,15236,"2016-01-01 16:56:31","746-686-305",31417,"Fashion | Apparels"
"20160010000024",1059681,86638,"2016-01-01 21:55:29","900-927-716",5207,"Home | Lighting"
"20160010000025",5158276,5757,"2016-01-01 18:49:14","561-644-368",15353,"Electronics | Mobile"
"20160010000026",12692849,55750,"2016-01-01 19:56:00","971-556-953",27603,"Home | Lighting"
"20160010000027",3933510,81279,"2016-01-01 02:18:04","315-661-950",41356,"Fashion | Shoes"
"20160010000028",12941486,92311,"2016-01-01 07:25:29","478-545-850",16227,"Fashion | Watches"
"20160010000029",7905698,46439,"2016-01-01 09:00:21","992-557-151",41452,"Electronics | Mobile"
"20160010000030",7962148,9412,"2016-01-01 17:26:53","637-557-732",28494,"Electronics | Mobile"
"20160010000031",14242493,39407,"2016-01-01 07:39:05","845-953-262",36692,"Home | Decor"
"20160010000032",19725353,73440,"2016-01-01 18:31:14","804-957-356",17096,"Home | Lighting"
"20160010000033",15371461,8704,"2016-01-01 10:37:58","385-514-918",25798,"Home | Furniture"
"20160010000034",15460384,69853,"2016-01-01 00:17:39","697-216-628",9311,"Fashion | Apparels"
"20160010000035",13663598,49407,"2016-01-01 17:56:06","546-194-809",39234,"Electronics | Mobile"
"20160010000036",4418847,94736,"2016-01-01 18:14:32","838-310-484",7161,"Fashion | Apparels"
"20160010000037",18748331,95686,"2016-01-01 22:39:48","170-533-411",16639,"Home | Lighting"
"20160010000038",17507008,6498,"2016-01-01 18:27:31","605-294-412",2618,"Home | Kitchen"
"20160010000039",17009453,36251,"2016-01-01 11:29:10","609-434-299",49495,"Home | Lighting"
"20160010000040",17545926,86721,"2016-01-01 07:41:08","688-310-726",9576,"Electronics | Mobile"
"20160010000041",18474537,40718,"2016-01-01 03:20:46","724-357-518",34131,"Home | Decor"
"20160010000042",10572171,39967,"2016-01-01 21:33:38","795-332-544",12950,"Electronics | Mobile"
"20160010000043",13187545,19360,"2016-01-01 06:14:20","103-392-122",33833,"Electronics | Mobile"
"20160010000044",8871556,57971,"2016-01-01 16:07:34","258-337-854",3679,"Fashion | Apparels"
"20160010000045",2397866,53358,"2016-01-01 04:53:43","571-295-204",6210,"Fashion | Apparels"
"20160010000046",11330270,33965,"2016-01-01 12:33:54","661-303-383",41605,"Fashion | Apparels"
"20160010000047",6800592,88121,"2016-01-01 15:54:25","229-383-910",5140,"Home | Decor"
"20160010000048",6327165,92860,"2016-01-01 15:00:44","352-784-320",11278,"Home | Decor"
"20160010000049",686609,23120,"2016-01-01 07:11:24","240-422-322",20387,"Fashion | Apparels"
"20160010000050",2157570,71934,"2016-01-01 04:17:10","268-802-383",22712,"Home | Kitchen"
"20160010000051",13812345,66888,"2016-01-01 11:02:00","195-387-864",17020,"Fashion | Apparels"
"20160010000052",7605750,67628,"2016-01-01 15:18:25","983-317-806",38962,"Fashion | Shoes"
"20160010000053",1953694,70200,"2016-01-01 06:00:06","380-771-156",22486,"Electronics | Television"
"20160010000054",17652724,58389,"2016-01-01 05:05:10","180-349-129",34746,"Home | Decor"
"20160010000055",13837170,66585,"2016-01-01 22:54:11","931-185-118",8954,"Home | Kitchen"
"20160010000056",4701494,78427,"2016-01-01 15:54:14","778-477-765",20959,"Electronics | Mobile"
"20160010000057",13756243,42403,"2016-01-01 17:38:37","412-997-332",37667,"Fashion | Apparels"
"20160010000058",3381098,82083,"2016-01-01 21:08:30","492-950-264",43866,"Home | Lighting"
"20160010000059",15545874,92738,"2016-01-01 15:44:31","695-953-738",33310,"Electronics | Mobile"
"20160010000060",8043356,5690,"2016-01-01 09:53:29","894-913-558",8461,"Electronics | Mobile"
"20160010000061",17410447,61994,"2016-01-01 00:58:37","439-261-766",43105,"Electronics | Computers"
"20160010000062",3981369,11796,"2016-01-01 22:36:03","142-399-751",39410,"Fashion | Watches"
"20160010000063",14959855,62414,"2016-01-01 05:09:26","301-143-785",20975,"Electronics | Mobile"
"20160010000064",7067931,10582,"2016-01-01 20:01:18","274-680-681",36318,"Home | Lighting"
"20160010000065",14781015,26991,"2016-01-01 03:32:55","281-859-392",39845,"Home | Kitchen"
"20160010000066",12494225,62435,"2016-01-01 20:34:19","390-153-109",13569,"Electronics | Mobile"
"20160010000067",11216512,71920,"2016-01-01 11:47:20","352-520-449",8369,"Fashion | Shoes"
"20160010000068",6635025,26277,"2016-01-01 06:31:22","809-750-244",12105,"Home | Decor"
"20160010000069",3790817,82923,"2016-01-01 08:28:42","613-761-841",10876,"Fashion | Apparels"
"20160010000070",15737122,53997,"2016-01-01 06:35:39","402-867-686",41982,"Fashion | Apparels"
"20160010000071",9726398,66459,"2016-01-01 04:43:29","454-856-150",37376,"Home | Kitchen"
"20160010000072",586111,19998,"2016-01-01 15:44:50","704-471-517",4453,"Electronics | Television"
"20160010000073",6182238,81504,"2016-01-01 05:20:28","552-552-140",49210,"Home | Furniture"
"20160010000074",10510205,89051,"2016-01-01 17:35:21","424-767-660",10436,"Electronics | Television"
"20160010000075",5885169,61786,"2016-01-01 06:28:58","215-692-542",1055,"Electronics | Television"
"20160010000076",4774389,8546,"2016-01-01 23:52:24","230-845-424",12579,"Fashion | Watches"
"20160010000077",307579,15754,"2016-01-01 19:59:48","968-516-477",21322,"Electronics | Television"
"20160010000078",1066616,92332,"2016-01-01 19:37:17","839-902-612",32553,"Home | Lighting"
"20160010000079",8600896,3496,"2016-01-01 13:57:05","194-603-881",24715,"Electronics | Television"
"20160010000080",9555043,92036,"2016-01-01 14:23:20","904-236-842",44309,"Electronics | Television"
"20160010000081",2718497,46372,"2016-01-01 16:39:19","529-612-936",43552,"Fashion | Shoes"
"20160010000082",17700891,86553,"2016-01-01 00:19:10","807-955-451",21190,"Home | Decor"
"20160010000083",19329438,44331,"2016-01-01 22:18:23","234-347-585",39681,"Electronics | Television"
"20160010000084",6669051,26545,"2016-01-01 11:55:53","663-152-476",17915,"Home | Lighting"
"20160010000085",2324574,52667,"2016-01-01 18:56:53","490-990-597",10944,"Fashion | Shoes"
"20160010000086",4832240,71532,"2016-01-01 13:26:37","811-983-696",32649,"Electronics | Mobile"
"20160010000087",8863860,29513,"2016-01-01 18:59:49","375-300-529",30690,"Electronics | Television"
"20160010000088",16269139,41769,"2016-01-01 04:26:16","937-608-359",28859,"Home | Decor"
"20160010000089",11673866,11871,"2016-01-01 13:00:25","234-107-668",27554,"Fashion | Apparels"
"20160010000090",1221141,43007,"2016-01-01 03:18:05","594-953-490",14100,"Fashion | Apparels"
"20160010000091",3544891,57443,"2016-01-01 13:14:58","586-607-176",42065,"Electronics | Mobile"
"20160010000092",11830261,71441,"2016-01-01 10:28:47","737-736-561",24907,"Fashion | Shoes"
"20160010000093",8908140,36078,"2016-01-01 07:25:19","923-854-283",24458,"Fashion | Apparels"
"20160010000094",4195515,11168,"2016-01-01 18:01:23","619-401-852",16197,"Fashion | Shoes"
"20160010000095",9105874,94182,"2016-01-01 16:17:38","998-136-539",2362,"Home | Decor"
"20160010000096",17580751,86795,"2016-01-01 18:21:48","104-140-693",5041,"Fashion | Apparels"
"20160010000097",8074144,8716,"2016-01-01 01:39:08","739-615-538",45447,"Fashion | Apparels"
"20160010000098",19395691,16498,"2016-01-01 02:03:40","861-358-874",34955,"Fashion | Apparels"
"20160010000099",13178489,26577,"2016-01-01 17:30:57","869-105-603",15978,"Fashion | Apparels"
"20160010000100",19853461,95711,"2016-01-01 18:53:49","928-457-793",15232,"Fashion | Shoes"
"20160010000101",9035909,71258,"2016-01-01 19:37:15","792-169-548",45867,"Fashion | Shoes"
"20160010000102",16415128,37470,"2016-01-01 19:04:59","551-717-445",49220,"Fashion | Apparels"
"20160010000103",15378107,56243,"2016-01-01 11:17:44","474-101-637",3832,"Electronics | Television"
"20160010000104",10493056,1560,"2016-01-01 12:46:38","466-994-479",16265,"Home | Decor"
"20160010000105",6664099,24743,"2016-01-01 17:45:58","477-210-585",3059,"Fashion | Apparels"
"20160010000106",8314404,42581,"2016-01-01 04:46:04","612-756-418",10387,"Home | Kitchen"
"20160010000107",18281423,49346,"2016-01-01 00:56:22","423-699-574",39172,"Electronics | Television"
"20160010000108",15561624,33069,"2016-01-01 07:26:17","842-702-829",45311,"Fashion | Shoes"
"20160010000109",10376917,12994,"2016-01-01 21:05:47","868-758-427",14021,"Home | Decor"
"20160010000110",11071672,31860,"2016-01-01 08:39:34","717-806-408",6669,"Fashion | Apparels"
"20160010000111",3220553,68656,"2016-01-01 19:34:03","183-136-687",7872,"Electronics | Mobile"
"20160010000112",18600166,5122,"2016-01-01 23:20:25","452-293-641",46237,"Home | Lighting"
"20160010000113",18661312,53650,"2016-01-01 09:33:44","844-772-556",13875,"Electronics | Television"
"20160010000114",4860858,84638,"2016-01-01 12:05:48","858-172-803",10900,"Home | Lighting"
"20160010000115",3026210,78813,"2016-01-01 22:41:43","925-251-720",48814,"Home | Decor"
"20160010000116",13236454,45304,"2016-01-01 12:20:51","653-948-405",32408,"Home | Lighting"
"20160010000117",11442676,94777,"2016-01-01 20:48:10","988-222-947",34987,"Home | Decor"
"20160010000118",8834876,97910,"2016-01-01 21:17:48","220-998-379",10567,"Fashion | Apparels"
